response_id_S2,analysis_id_S2,submission_id_S2,ReviewerId,PriorBelief,RateAnalysis,PublishableAsIs
R_2tarci531JBsPED,2,2,Rev86,Negative relationship (more competition = less growth),92,publishable as is
R_2xPmP71Af1t1YR5,1,1,Rev86,Negative relationship (more competition = less growth),50,publishable with major revision
NA,NA,NA,Rev86,Negative relationship (more competition = less growth),75,publishable with minor revision
NA,NA,NA,Rev76,Negative relationship (more competition = less growth),55,publishable with major revision
R_1QoRu2birFKL9Hx,1,1,Rev76,Negative relationship (more competition = less growth),95,publishable as is
NA,NA,NA,Rev76,Negative relationship (more competition = less growth),30,deeply flawed and unpublishable
R_210APF6gYFATf7Y,1,1,Rev76,Negative relationship (more competition = less growth),88,publishable as is
R_21an1zgH6j5Vfds,2,2,Rev76,Negative relationship (more competition = less growth),90,publishable with minor revision
R_21an1zgH6j5Vfds,1,3,Rev76,Negative relationship (more competition = less growth),90,publishable with minor revision
R_21an1zgH6j5Vfds,3,4,Rev76,Negative relationship (more competition = less growth),90,publishable with minor revision
NA,NA,NA,Rev3,Negative relationship (more competition = less growth),40,deeply flawed and unpublishable
R_1o4ElmLsRiBa4FJ,1,1,Rev3,Negative relationship (more competition = less growth),75,publishable with major revision
R_1o4ElmLsRiBa4FJ,2,2,Rev3,Negative relationship (more competition = less growth),75,publishable with major revision
R_1o4ElmLsRiBa4FJ,3,3,Rev3,Negative relationship (more competition = less growth),75,publishable with major revision
R_1o4ElmLsRiBa4FJ,4,4,Rev3,Negative relationship (more competition = less growth),75,publishable with major revision
R_2xPmP71Af1t1YR5,1,1,Rev3,Negative relationship (more competition = less growth),90,publishable with minor revision
R_T0k5x1ig6yJeJl7,1,1,Rev3,Negative relationship (more competition = less growth),80,publishable with minor revision
R_T0k5x1ig6yJeJl7,2,2,Rev3,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2THmmIkaHjHzDVz,1,1,Rev3,Negative relationship (more competition = less growth),70,publishable with major revision
R_25Sd6zEgjVjLhN3,1,1,Rev1,Negative relationship (more competition = less growth),75,publishable with major revision
R_25Sd6zEgjVjLhN3,2,2,Rev1,Negative relationship (more competition = less growth),75,publishable with major revision
NA,NA,NA,Rev1,Negative relationship (more competition = less growth),25,deeply flawed and unpublishable
R_1E099fIoICERZIZ,1,1,Rev1,Negative relationship (more competition = less growth),55,deeply flawed and unpublishable
R_1E099fIoICERZIZ,2,2,Rev1,Negative relationship (more competition = less growth),55,deeply flawed and unpublishable
R_3E20pSupmdXAXDz,1,1,Rev1,Negative relationship (more competition = less growth),80,publishable with major revision
R_3E20pSupmdXAXDz,2,2,Rev1,Negative relationship (more competition = less growth),80,publishable with major revision
R_25Sd6zEgjVjLhN3,1,1,Rev74,Negative relationship (more competition = less growth),90,publishable as is
R_25Sd6zEgjVjLhN3,2,2,Rev74,Negative relationship (more competition = less growth),90,publishable as is
R_2CEpr5R0zCk1v1Q,1,1,Rev74,Negative relationship (more competition = less growth),30,publishable with major revision
R_210APF6gYFATf7Y,1,1,Rev74,Negative relationship (more competition = less growth),85,publishable with minor revision
R_1CC5PPCXcQPgu42,1,1,Rev74,Negative relationship (more competition = less growth),65,publishable with major revision
R_2tarci531JBsPED,1,1,Rev74,Negative relationship (more competition = less growth),89,publishable with minor revision
R_2tarci531JBsPED,2,2,Rev74,Negative relationship (more competition = less growth),89,publishable with minor revision
R_1dzfML4yheLxG0D,1,1,Rev122,Negative relationship (more competition = less growth),45,publishable with major revision
R_yZQkQmoW6cuEO09,1,1,Rev122,Negative relationship (more competition = less growth),45,publishable with major revision
R_1E6WYqro4x6Nnz8,1,1,Rev122,Negative relationship (more competition = less growth),65,publishable with major revision
R_2vYtB65EABDGMNB,2,1,Rev122,Negative relationship (more competition = less growth),90,publishable as is
R_2vYtB65EABDGMNB,1,2,Rev122,Negative relationship (more competition = less growth),90,publishable as is
R_2uIDO25lv0nHjfH,1,1,Rev122,Negative relationship (more competition = less growth),85,publishable with minor revision
R_1ff6slHNcrTJ2JS,1,1,Rev34,Negative relationship (more competition = less growth),77,publishable with minor revision
R_CfUlQXg434XEESd,1,1,Rev34,Negative relationship (more competition = less growth),31,publishable with major revision
R_CfUlQXg434XEESd,2,2,Rev34,Negative relationship (more competition = less growth),31,publishable with major revision
R_CfUlQXg434XEESd,3,3,Rev34,Negative relationship (more competition = less growth),31,publishable with major revision
R_CfUlQXg434XEESd,4,4,Rev34,Negative relationship (more competition = less growth),31,publishable with major revision
R_3m9pJhdYt9KfVms,1,1,Rev34,Negative relationship (more competition = less growth),89,publishable with minor revision
R_rqkAgIU6rLn6bO9,1,1,Rev34,Negative relationship (more competition = less growth),71,publishable with minor revision
R_rqkAgIU6rLn6bO9,2,2,Rev34,Negative relationship (more competition = less growth),71,publishable with minor revision
R_yZQkQmoW6cuEO09,1,1,Rev34,Negative relationship (more competition = less growth),63,publishable as is
R_vMhaGW8Th967p9n,1,1,Rev105,Negative relationship (more competition = less growth),80,publishable with minor revision
R_vMhaGW8Th967p9n,2,2,Rev105,Negative relationship (more competition = less growth),80,publishable with minor revision
R_vMhaGW8Th967p9n,3,3,Rev105,Negative relationship (more competition = less growth),80,publishable with minor revision
R_vMhaGW8Th967p9n,4,4,Rev105,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2aPKje1xa8BzFa8,1,1,Rev105,Negative relationship (more competition = less growth),55,publishable with major revision
NA,NA,NA,Rev105,Negative relationship (more competition = less growth),30,deeply flawed and unpublishable
R_31LAZLL0bxwShz9,1,1,Rev105,Negative relationship (more competition = less growth),80,publishable with minor revision
R_3ERyi6ZMihKx06s,1,1,Rev105,Negative relationship (more competition = less growth),39,publishable with major revision
R_1HeLJJFDOVIZbac,1,1,Rev49,Negative relationship (more competition = less growth),50,deeply flawed and unpublishable
R_1HeLJJFDOVIZbac,2,2,Rev49,Negative relationship (more competition = less growth),50,deeply flawed and unpublishable
R_1HeLJJFDOVIZbac,3,3,Rev49,Negative relationship (more competition = less growth),50,deeply flawed and unpublishable
R_1HeLJJFDOVIZbac,4,4,Rev49,Negative relationship (more competition = less growth),50,deeply flawed and unpublishable
R_2y3muAnh5ZdPNsd,1,1,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_eqzPwjXV6eOi2zv,1,1,Rev49,Negative relationship (more competition = less growth),90,publishable with minor revision
R_eqzPwjXV6eOi2zv,2,2,Rev49,Negative relationship (more competition = less growth),90,publishable with minor revision
R_12cozGev3IOOBG2,1,1,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_12cozGev3IOOBG2,2,2,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_12cozGev3IOOBG2,3,3,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_12cozGev3IOOBG2,4,4,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_12cozGev3IOOBG2,5,5,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_2eQ3csRDLG0n4YO,6,1,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_2eQ3csRDLG0n4YO,7,2,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_2eQ3csRDLG0n4YO,8,3,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_PvSAhRE12PvmEJb,1,1,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_PvSAhRE12PvmEJb,2,2,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_PvSAhRE12PvmEJb,3,3,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_2Wwn0cMK5hFC4vB,1,1,Rev89,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2Wwn0cMK5hFC4vB,2,2,Rev89,Negative relationship (more competition = less growth),80,publishable with minor revision
R_QhJspbYhGLOQVZD,1,1,Rev89,Negative relationship (more competition = less growth),95,publishable with minor revision
R_QhJspbYhGLOQVZD,2,2,Rev89,Negative relationship (more competition = less growth),95,publishable with minor revision
R_2xPmP71Af1t1YR5,1,1,Rev89,Negative relationship (more competition = less growth),95,publishable as is
R_1f9Lv1lWGLjMFk8,1,1,Rev89,Negative relationship (more competition = less growth),20,deeply flawed and unpublishable
R_1f9Lv1lWGLjMFk8,2,2,Rev89,Negative relationship (more competition = less growth),20,deeply flawed and unpublishable
R_30l9T9czSfysE75,1,1,Rev89,Negative relationship (more competition = less growth),65,publishable with major revision
R_4ZWbwCKuORJbmMx,5,1,Rev131,Positive relationship (more competition = more growth),92,publishable as is
R_2aPKje1xa8BzFa8,1,1,Rev131,Positive relationship (more competition = more growth),16,deeply flawed and unpublishable
R_SDyCfmAPuL4gcKZ,1,1,Rev131,Positive relationship (more competition = more growth),60,publishable with major revision
R_SDyCfmAPuL4gcKZ,2,2,Rev131,Positive relationship (more competition = more growth),60,publishable with major revision
R_SDyCfmAPuL4gcKZ,3,3,Rev131,Positive relationship (more competition = more growth),60,publishable with major revision
R_SDyCfmAPuL4gcKZ,4,4,Rev131,Positive relationship (more competition = more growth),60,publishable with major revision
R_SDyCfmAPuL4gcKZ,5,5,Rev131,Positive relationship (more competition = more growth),60,publishable with major revision
NA,NA,NA,Rev131,Positive relationship (more competition = more growth),33,publishable with major revision
R_sb3t48UcPt6oBO1,1,1,Rev131,Positive relationship (more competition = more growth),92,publishable with minor revision
R_sb3t48UcPt6oBO1,2,2,Rev131,Positive relationship (more competition = more growth),92,publishable with minor revision
R_22mEYpP8f0QXcTl,1,1,Rev52,Negative relationship (more competition = less growth),90,publishable with minor revision
R_QhJspbYhGLOQVZD,1,1,Rev52,Negative relationship (more competition = less growth),82,publishable with minor revision
R_QhJspbYhGLOQVZD,2,2,Rev52,Negative relationship (more competition = less growth),82,publishable with minor revision
R_2vYtB65EABDGMNB,2,1,Rev52,Negative relationship (more competition = less growth),84,publishable with minor revision
R_2vYtB65EABDGMNB,1,2,Rev52,Negative relationship (more competition = less growth),84,publishable with minor revision
R_1f9Lv1lWGLjMFk8,1,1,Rev52,Negative relationship (more competition = less growth),60,publishable with major revision
R_1f9Lv1lWGLjMFk8,2,2,Rev52,Negative relationship (more competition = less growth),60,publishable with major revision
R_2THmmIkaHjHzDVz,1,1,Rev52,Negative relationship (more competition = less growth),70,publishable with minor revision
R_1QoRu2birFKL9Hx,1,1,Rev133,NA,71,publishable with minor revision
R_1CC5PPCXcQPgu42,1,1,Rev133,NA,70,publishable with minor revision
R_1o4ElmLsRiBa4FJ,1,1,Rev133,NA,60,publishable with major revision
R_1o4ElmLsRiBa4FJ,2,2,Rev133,NA,60,publishable with major revision
R_1o4ElmLsRiBa4FJ,3,3,Rev133,NA,60,publishable with major revision
R_1o4ElmLsRiBa4FJ,4,4,Rev133,NA,60,publishable with major revision
R_2YDnnczYjl21ufr,1,1,Rev133,NA,87,publishable with minor revision
R_30l9T9czSfysE75,1,1,Rev133,NA,61,publishable with minor revision
R_25Sd6zEgjVjLhN3,1,1,Rev63,Negative relationship (more competition = less growth),75,publishable with major revision
R_25Sd6zEgjVjLhN3,2,2,Rev63,Negative relationship (more competition = less growth),75,publishable with major revision
NA,NA,NA,Rev63,Negative relationship (more competition = less growth),20,deeply flawed and unpublishable
R_1eXlFKlQdiD2F59,1,1,Rev63,Negative relationship (more competition = less growth),90,publishable as is
R_1eXlFKlQdiD2F59,2,2,Rev63,Negative relationship (more competition = less growth),90,publishable as is
R_2yr82cdDjPysYtS,1,1,Rev63,Negative relationship (more competition = less growth),30,deeply flawed and unpublishable
R_1E099fIoICERZIZ,1,1,Rev63,Negative relationship (more competition = less growth),75,publishable with minor revision
R_1E099fIoICERZIZ,2,2,Rev63,Negative relationship (more competition = less growth),75,publishable with minor revision
R_eqzPwjXV6eOi2zv,1,1,Rev133,NA,81,publishable with minor revision
R_eqzPwjXV6eOi2zv,2,2,Rev133,NA,81,publishable with minor revision
R_2zUZWZuYEjzhNEw,1,1,Rev133,NA,75,publishable with minor revision
R_Rk5gQvyBw90zCvf,1,1,Rev133,NA,87,publishable with minor revision
R_21gmMa0uclrNoTP,1,1,Rev133,NA,79,publishable with minor revision
NA,NA,NA,Rev133,NA,90,publishable with minor revision
NA,NA,NA,Rev105,Positive relationship (more competition = more growth),33,deeply flawed and unpublishable
R_1dzfML4yheLxG0D,1,1,Rev105,Positive relationship (more competition = more growth),70,publishable with major revision
R_1d0uRf5iNWOLD8M,1,1,Rev105,Positive relationship (more competition = more growth),50,publishable with major revision
R_2Wwn0cMK5hFC4vB,1,1,Rev105,Positive relationship (more competition = more growth),70,publishable with major revision
R_2Wwn0cMK5hFC4vB,2,2,Rev105,Positive relationship (more competition = more growth),70,publishable with major revision
R_rqkAgIU6rLn6bO9,1,1,Rev105,Positive relationship (more competition = more growth),65,publishable with major revision
R_rqkAgIU6rLn6bO9,2,2,Rev105,Positive relationship (more competition = more growth),65,publishable with major revision
R_25Sd6zEgjVjLhN3,1,1,Rev45,Negative relationship (more competition = less growth),71,publishable with major revision
R_25Sd6zEgjVjLhN3,2,2,Rev45,Negative relationship (more competition = less growth),71,publishable with major revision
R_DoCdsvLclGEF14Z,1,1,Rev45,Negative relationship (more competition = less growth),40,deeply flawed and unpublishable
R_3dWjjdkDbTRCUqs,1,1,Rev45,Negative relationship (more competition = less growth),75,publishable with major revision
R_2yr82cdDjPysYtS,1,1,Rev45,Negative relationship (more competition = less growth),40,deeply flawed and unpublishable
R_2SualymdumDBI63,1,1,Rev45,Negative relationship (more competition = less growth),70,publishable with major revision
R_2SualymdumDBI63,2,2,Rev45,Negative relationship (more competition = less growth),70,publishable with major revision
R_2SualymdumDBI63,3,3,Rev45,Negative relationship (more competition = less growth),70,publishable with major revision
R_2YDnnczYjl21ufr,1,1,Rev77,Negative relationship (more competition = less growth),75,publishable with major revision
NA,NA,NA,Rev77,Negative relationship (more competition = less growth),71,publishable with major revision
R_25Sd6zEgjVjLhN3,1,1,Rev69,Negative relationship (more competition = less growth),99,publishable as is
R_25Sd6zEgjVjLhN3,2,2,Rev69,Negative relationship (more competition = less growth),99,publishable as is
R_2yr82cdDjPysYtS,1,1,Rev69,Negative relationship (more competition = less growth),75,publishable with minor revision
R_T0k5x1ig6yJeJl7,1,1,Rev69,Negative relationship (more competition = less growth),90,publishable as is
R_T0k5x1ig6yJeJl7,2,2,Rev69,Negative relationship (more competition = less growth),90,publishable as is
R_2TFNREdJSxTXZBQ,2,1,Rev69,Negative relationship (more competition = less growth),99,publishable as is
R_2TFNREdJSxTXZBQ,1,2,Rev69,Negative relationship (more competition = less growth),99,publishable as is
R_1MRquC7DrqOiQ5p,1,1,Rev81,Negative relationship (more competition = less growth),69,publishable with minor revision
R_40VJPSNfIlSJGAV,1,1,Rev81,Negative relationship (more competition = less growth),82,publishable with minor revision
R_40VJPSNfIlSJGAV,2,2,Rev81,Negative relationship (more competition = less growth),82,publishable with minor revision
R_40VJPSNfIlSJGAV,3,3,Rev81,Negative relationship (more competition = less growth),82,publishable with minor revision
R_40VJPSNfIlSJGAV,4,4,Rev81,Negative relationship (more competition = less growth),82,publishable with minor revision
R_3dWjjdkDbTRCUqs,1,1,Rev17,Negative relationship (more competition = less growth),35,publishable with major revision
R_4ZWbwCKuORJbmMx,5,1,Rev33,Negative relationship (more competition = less growth),60,publishable with minor revision
R_CfUlQXg434XEESd,1,1,Rev153,Negative relationship (more competition = less growth),78,publishable with minor revision
R_CfUlQXg434XEESd,2,2,Rev153,Negative relationship (more competition = less growth),78,publishable with minor revision
R_CfUlQXg434XEESd,3,3,Rev153,Negative relationship (more competition = less growth),78,publishable with minor revision
R_CfUlQXg434XEESd,4,4,Rev153,Negative relationship (more competition = less growth),78,publishable with minor revision
R_25Sd6zEgjVjLhN3,1,1,Rev123,No relationship,60,publishable with minor revision
R_25Sd6zEgjVjLhN3,2,2,Rev123,No relationship,60,publishable with minor revision
R_sb3t48UcPt6oBO1,1,1,Rev46,NA,50,publishable with major revision
R_sb3t48UcPt6oBO1,2,2,Rev46,NA,50,publishable with major revision
R_2Pjoz1X4q5XRClO,1,1,Rev46,NA,90,publishable with minor revision
R_OHkieloS1B9JsC5,1,1,Rev64,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2CEpr5R0zCk1v1Q,1,1,Rev132,Negative relationship (more competition = less growth),70,publishable with minor revision
R_yZQkQmoW6cuEO09,1,1,Rev132,Negative relationship (more competition = less growth),85,publishable with minor revision
NA,NA,NA,Rev6,Negative relationship (more competition = less growth),56,publishable with major revision
NA,NA,NA,Rev135,Negative relationship (more competition = less growth),87,publishable with minor revision
R_3rIdpCqsQtsmgqT,1,1,Rev141,Positive relationship (more competition = more growth),87,publishable as is
R_3rIdpCqsQtsmgqT,2,2,Rev141,Positive relationship (more competition = more growth),87,publishable as is
R_vMhaGW8Th967p9n,1,1,Rev141,Positive relationship (more competition = more growth),84,publishable with minor revision
R_vMhaGW8Th967p9n,2,2,Rev141,Positive relationship (more competition = more growth),84,publishable with minor revision
R_vMhaGW8Th967p9n,3,3,Rev141,Positive relationship (more competition = more growth),84,publishable with minor revision
R_vMhaGW8Th967p9n,4,4,Rev141,Positive relationship (more competition = more growth),84,publishable with minor revision
R_3EchM6GxZboGwz4,1,1,Rev141,Positive relationship (more competition = more growth),56,publishable with major revision
R_234CYWFp3pm7mxh,1,1,Rev141,Positive relationship (more competition = more growth),94,publishable as is
R_234CYWFp3pm7mxh,2,2,Rev141,Positive relationship (more competition = more growth),94,publishable as is
NA,NA,NA,Rev141,Positive relationship (more competition = more growth),73,publishable with minor revision
R_3qfD5ZHHdBbTgk3,8,1,Rev135,Negative relationship (more competition = less growth),85,publishable with minor revision
R_3iKJrflQwwxsps0,1,1,Rev135,Negative relationship (more competition = less growth),85,publishable with minor revision
R_3iKJrflQwwxsps0,2,2,Rev135,Negative relationship (more competition = less growth),85,publishable with minor revision
NA,NA,NA,Rev135,Negative relationship (more competition = less growth),80,publishable with major revision
R_vMhaGW8Th967p9n,1,1,Rev135,Negative relationship (more competition = less growth),100,publishable as is
R_vMhaGW8Th967p9n,2,2,Rev135,Negative relationship (more competition = less growth),100,publishable as is
R_vMhaGW8Th967p9n,3,3,Rev135,Negative relationship (more competition = less growth),100,publishable as is
R_vMhaGW8Th967p9n,4,4,Rev135,Negative relationship (more competition = less growth),100,publishable as is
R_1MRquC7DrqOiQ5p,1,1,Rev135,Negative relationship (more competition = less growth),85,publishable with minor revision
R_3EZsdPTvOnZBe9S,1,1,Rev135,Negative relationship (more competition = less growth),98,publishable as is
R_234CYWFp3pm7mxh,1,1,Rev64,Negative relationship (more competition = less growth),80,publishable with minor revision
R_234CYWFp3pm7mxh,2,2,Rev64,Negative relationship (more competition = less growth),80,publishable with minor revision
NA,NA,NA,Rev136,NA,25,deeply flawed and unpublishable
